,title,description,average_score,number_of_reviews,type
1721,The Formula for Trouble,"From the back of the book: You're curious. You're thirsty. You can't resist. One gulp, and anything can happen! Turn to page 14, and learn what life is like at the other end of a leash when your dog starts giving you the orders! Help! On page 26, you stare at the mirror and discover that a hairy werewolf is staring back at you! Go ahead! Take a sip of the Formula for Trouble. In a TWISTAPLOT Book, you're the star of the story! You decide which path to take and what will happen once you get there. The choice is yours. Bottoms up!",0.0,0,TTRPG
1722,Wizard's Island,"Wizard's Island ... In a time near the end of the Dark Years, when the forces of evil were fighting to desperately to hold back the changing tide brought on by the Legions of the Four Sages, there was a wizard, Master of Mind Magics, who dabbled with the forces of the Thousand Hells until he had relearned the forbidden Black Art, Necromancy. His powers were such that he could create undead. But he was not satisfied with just blaspheming the dead, he wanted also to blaspheme the living. So he chose instead to conduct other more heinous experiments. He sent his undead ships to raid the coasts of Avland and Tryuna for humans, humanoids, and other creatures to use as guinea pigs. The result of his experiments was the Blasphemer. No two Blasphemers were alike, as each combined the features of two or more living things. Satisfied with his experiments, the evil mage was ready to conquer the world. Only the world had changed in the years he had been engrossed in his experiments: The Dark Year were ended and the golden age of Silverdawn had begun The Golden Empire had rapidly risen to a level of power and wealth unheard of since times before the Dark Years. Still, given time, the necromancer realized that he could build great armies of undead and Blasphemers, and once more assert the rightful dominance of evil. But he had no time. The Sages had heard of his evil exploits and so sent one of their number to end his reign of terror. The Sage of Wizardry had spent the past several years in actual battle so that his combat spells were at their strongest. Kazanlan, the necromancer wizard, was no match for the battle-hardened Sage. Thus it was that the evil mage Kazanjian screamed with his final dying breath this curse: ""I swear by the name of my birthing, Kazanjian, that I will return. My blasphemous hordes will reassert evil's dominion and will send the Sages to some dark hell!"" Kazanjian; the evil mage, is known in most historical accounts simply as The Wizard. Necromancy was often called Black Wizardry in those times ... Now a group of adventurers have decided to explore what is left of his domain, which they assume to be abandoned ...",0.0,0,TTRPG
1723,Dungeon of the Dragon Lord,"From the introduction: The conjurer Drakon and his evil apprentice have been wreaking havoc on the countryside. Many parties have entered the dungeon never to return. Your job is to stop this evil magic-user while he is just beginning to grow, for he is, at the moment, only controlling a small number of young dragons. User summary: For 1st - 4th level characters.",0.0,0,TTRPG
1725,Invasion of the Black Slime and Other Tales of Horror,"From the back cover: You are crossing America on your bicycle. . . When you stop to explore and old mining town. Soon you discover that Silverlode has been invaded by a terrible, bubbling black slime that makes animals howl and people hiss and attack each other in the night. You have no choice but to stay and help solve the mystery! But whether you find yourself trapped in a river of oozing black evil in your own hotel room, running for your life from a hideous manlike monster, walking a narrow path over a pit of rattlesnakes, imprisoned as a sacrifice for a mad doctor's experiments, battling billions of attacking insects, or defying the eerie powers of the yellow-eyed people- never fear! If you make the right choice, you might also win a million dollars! So get ready to plunge into adventure. And if you get caught in the black slime, just go back to the beginning and start again. THIS ADVENTURE BELONGS TO YOU! Welcome to the world of Which Way books- Where YOU make things happen.",0.0,0,TTRPG
1726,The Video Avenger,"From the back of the book Your dream has come true. The fantastic ME-II computer you won is sitting in your bedroom, just waiting for you to set dozens of video games in motion. You can hardly wait to play... until you find out that the games are real and that, with on touch, you are trapped inside the computer.",0.0,0,TTRPG
1727,Overlord's Handbook,"User Summary The Overlord's Handbook includes general advice for the Overlord in running a campaign and takes the time the emphasize the role-playing possibilities open to the Overlord. The Handbook also introduces a variant that would allow players to get together on a regular basis in a way much more reminiscent of classic RPG play than is suggested in the core rules. Several sections expand on the core rules adding wrinkles to: Politics (population moral, alternate taxation, & new ways to handle media); Spying (several new charts are included); War and Battle (war aids for the Overlord, new ship types, cost to build custom ships, etc.); and Trade (rules for computing how many important trade goods are available at any given moment).",0.0,0,TTRPG
1728,Desert Plots: Amazon Mutual #2,"From the covers: ""A desert mystery campaign plot with two complete dungeons, 5 plot outlines, 13 new monsters, 18 new magic items, and 18 new traps & tricks. AD&D modules & generic plots linking The Efreet Secret Weapon, Adventurer's Life Assurance, The Great Art of Master Ovid & His Good Demons, The Orcan Liberation Front, The Sexual Mores of the Efreeti Queen, and Belworth George - The Paladin of St. Fallwell.""",0.0,0,TTRPG
1729,The Bigfoot Mystery,From publisher blurb: While you're camping in the woods your campsite is attacked by something that leaves behind huge footprints.,0.0,0,TTRPG
1730,Isle of Illusion,"From the back of the book: You are Licia, secretly trained as a fighter, and your skills are about to be severely tested as you follow the footsteps of your missing brother in his quest to destroy the evil illusionist, Treg, who holds your family's future in his hands. He is Tym, a young adventurer with a frank, open face and the skills of a thief. And then there is Max, a scholarly magic-user, with the eyes of a mystic and the ability to make you feel emotions you've never felt before. Will your fantasy adventure lead you to your first romance, or will the decisions you make carry you into realms from which there is no return? In a HEARTQUEST book, you, the reader, are challenged to PICK A PATH TO ROMANCE AND ADVENTURE.",0.0,0,TTRPG
1731,Crash Landing!,"From the back of the book: Choose from over 30 different endings! CRASH LANDING! You gasp in terror as you hear the pilot announce those terrifying words! You can't believe that your free vacation is about to end in flames! Will you become a newspaper statistic? Or will you use your wits to face the danger...and survive! On page 6, you learn how to guide a parachute over perilous mountains and deserts! Deadly piranha fish threaten your surival on page 41! And if you ever get home, what will you do with all the gold you discover on page 52? In a TWISTAPLOT Book, you are the star of the story! You face the danger! Your survival depends on the choices you make and the pages you turn. So fasten your seatbelt. Your flight is now departing.",0.0,0,TTRPG
1732,"Cynfelyn, Prince of Prydein","In Cynfelyn, Prince of Prydein characters move up in the world of international intrigue and espionage between neighboring countries. For levels 4-6.",0.0,0,TTRPG
1733,Threat From Nowhere - The Gift,"From the introduction: Six days ago you were in the town of Akhmen, resting after successfully freeing Nefru, an orphan ward of the temple of Anubis, from a deadly magical bond. Some of you had just completed training when the high priest of Anubis in Akhmen told you to seek a rapid return to your home city of Thinnes, though he later had no memory of this event.",0.0,0,TTRPG
1734,The Imliv River Valley,"From the front cover: Adventure in the Magical Grimbolwood! Caught between two fighting goblin tribes, the gnomes of the Hilberry Hills are unable to deliver their goods. A party of adventurers is needed to brave the horrors of Brimbolwood and save the town of Drimiliv. The Imliv River Valley is an exciting role-playing adventure designed for use with almost any fantasy role-playing system.",0.0,0,TTRPG
1735,The Deeper Dream,"Players in The Deeper Dream generate eight attributes (Will, Imagination, Innate Power, Solidity, Strength, Toughness, Balance, and Aim) using 3d6 for each each. Players then distribute 100 percentage points among one to four skills (taking fewer than four skills allows for faster future progression). Most skills are Dreamworld skills, but some are used in the Waking World. To determine success in opposed actions, percentage dice are rolled and compared to the appropriate skill statistic. If no skill applies, a d20 roll may instead be called for to be made against a suitable attribute. In both cases, the die roll must be lower than the skill or attribute to achieve success. One unique aspect of the game concerns death, which is rarely permanent in dreams. Instead, characters may lose the ability to dream for several days or suffer other negative effects.",0.0,0,TTRPG
1738,Jungle Safari,"From publisher blurb: You go on safari with your uncle Stanley and his daughter, your favorite cousin June. During your journey you hope to find a Kawamba, a rare species of ape not seen in many years.",0.0,0,TTRPG
1739,Raid Against the Empire,Publisher's blurb: Melee & Magic game scenario for 6 to 10 people including [Game Controller] and 2 to 3 actors. It requires 4 game sets made from 3 houses/apts. but little work to prepare the sets for play. It involves no monsters and minimal props. It will take 1 to 2 days to play.,0.0,0,TTRPG
1740,Search for the Treasures of Term,"From the introduction: We've tried to present scenarios that can be applied with a minimum of fuss to many game systems. Here are some guidelines to smooth over any rough areas you may encounter... ... Rumors abound in the town of Windemere; they fly to and fro as if riding the backs of the swift Belldoves that nest on Heartbreak Mountain. It's difficult at times to tell the truth from falsehood, but when pilgrims from afar start trudging up the circuitous paths of Rising Moon Hill to pay homage to a new find unearthed by a group of clerics, you know there's more to the hearsay than imagination.",0.0,0,TTRPG
1741,Dream Trips,From publisher blurb: You go to sleep and have dreams.,0.0,0,TTRPG
1742,The Accursed Castle,"Publisher's blurb: This location was something I drew up shortly after seeing The Last Unicorn for the first time. I recall really liking the idea of the old king haunted by his past, and drew a lot of inspiration from the concept of a seaside castle fallen under a Wuthering Heights-esque pall of doom and gloom. So, moved by the Muse, I immediately set to work with my mechanical pencil, compass, and graph paper. The result is The Accursed Castle, an immense structure whose foundations are carved deep into the rocky cliffs of The Cold Sea, and whose handful of spires reach high into the gray sky above. It's an ""empty"" location - that is, aside from room labels, the castle maps are not keyed. Anybody wishing to use this has a blank slate on which to work.",0.0,0,TTRPG
1743,Have Your Own Extra-Terrestrial Adventure,"From the introductory text: That day I was wearing a canary yellow, one-piece suit, trimmed in terra cotta and sky blue at the collar, shoulders and wrists. My belt and boots, made of the multi-coloured hide of a Frygian sand-dragon, were almost conservative. As for the rings on my fingers, the jewelled pendant around my neck and the jewelled headband that held back my hair, they were modest compared to the decorations of most city folk.",0.0,0,TTRPG
1744,Melee & Magic,Publisher's blurb: Rules for live action adventure gaming. Consists of: a system of mock hand to hand combat with weapons construction and medical treatment of wounds a system of scoring games based on the combat a guide for designing and refereeing game scenarios a guide for incorporating props of various types including treasure and magical artifacts,0.0,0,TTRPG
1745,Trapped in the Black Box,"You volunteer to test the time-travel devices in an amazing new museum and are given the opportunity to explore the World of Fantasy Creatures, the Earth of the Future, or the World of Dreams.",0.0,0,TTRPG
1834,Rogue 417,"From the back cover 1994 As the flask of Rogue 417 smashed to the lab floor, the technician quickly flooded the area with an antiseptic and called for help. But this was the middle east, a savage war zone, where special equipment, trained personnel and ultra-modern containment technology are often lacking when desperation forces half-trained bio-chemists to create new weapons. The technician dies within hours and Rogue 417 was loose in the world to sythe a path of destruction and madness unparalled in history. Rogue 417 is a game system suppliment for Fringeworthy or Stalking the Night Fantastic that can become a game in itself with use of Tri Tac role playing systems. With Fringeworthy, Rogue 417 becomes a campaign of inter- dimensional explorers and survivors pitted against a madman. Rogue 417 is a game of human survival.",0.0,0,TTRPG
1851,Kata Kumbas,"Kata Kumbas An original game set in a ""Mediterranean Fantasy"": not the classic heroic fantasy with Nordic influences but an ironic mix of Italian history, legends and fairy tales, in a Medieval setting. All blended with humour that is further evident in the geography: the world is Laitia, that's an anagram of Italia (Italy), and all its region have names that are anagrams of Italian ones. Together with ""I Signori del Caos"", that was developed at the same time but was released a few months before, it is the first Italian role-playing game, preceding the Italian edition of Basic D&D in 1985. This box, released by a well known toy company, contains a basic rulebook, a bestiary, the ""La Maschera d'Oro e il Cimitero dei Pellegrini"" adventure (""The Golden Mask and the Pilgrims' Cemetery""), a colour map of the world, dice and a sandglass.",0.0,0,TTRPG
1858,The Curse of Batterslea Hall,"(Reader summary) In Richard Brightfield's third CYOA book, the reader is sent to England to help solve the mystery of a cursed estate. This is the 30th book in the Choose Your Own Adventure series.",0.0,0,TTRPG
1890,10th Anniversary Dungeons & Dragons Collector's Set,"The 10th Anniversary Dungeons & Dragons Collector's Set was a simple compilation of previously-published materials, bundled and sold in a shrink-wrapped, faux leather slipcase at Gen Con 17 (and subsequently via mail order). One thousand sets were produced. Once removed from the shrink-wrap, the contained items are not individually distinguishable from the corresponding ""non-collector's-set"" items. The set includes: Dungeons & Dragons Set 1: Basic Rules (Player's and DM's booklets) Dungeons & Dragons Set 2: Expert Rules (Expert Set booklet) Dungeons & Dragons Set 3: Companion Rules (Player's and DM's booklets) AC6: Player Character Record Sheets M1: Blizzard Pass B1: In Search of the Unknown B2: The Keep on the Borderlands X1: The Isle of Dread AC2: Combat Shield and Mini-adventure AC3: 3-D Dragon Tiles featuring The Kidnapping of Princess Arelina Dice, Crayon, Pen",0.0,0,TTRPG
1898,The Adventurer's Handbook: A Guide to Role-Playing Games,"From the back cover: Return with us now to those thrilling days of Tolkien, Moorcock - even King Arthur's Britain. Now you can do more than read these (and other) charming fantasies. YOU can be a King - or a Princess - or a Dragon if you like. With this creative new book you can explore, conquer, and perhaps even amass a fortune. The Adventurer's Handbook takes you to the world of fantasy - a world of role-playing games in which the players create and control characters who live their imaginary lives in a specially made game land. You can base your games in such well-known fantasies as Tolkien's Middle Earth, Ursula Le Guin's Earthsea, or Moorcock's Young Kingdoms. Or if originality is your forte, you can create your own unique world of wonder and clone a hero of your own. user comment this book contains a core set of rules, very similar, but simpler, to Chaosium's Basic Role-Playing system.",0.0,0,TTRPG
1909,Invasion U.S.!,"From the Back of the Module FIGHTING FOR FREEDOM Tyranny in the Streets In the 1990's America has fallen to the communists after the third world war. With the US under a harsh Soviet occupation force, you fight back to regain your lost freedom. Invasion US Invasion US is a game module of small group RPG action against a hostile force. Characters will live in the Peoples Republic of America where every movement is watched by the KGB and the slightest slip will send them to prison or death. Invasion US is a game system supplement for Stalking the Night Fantastic or Fringeworthy that can become a game in itself with the use of Tri Tac role playing systems. The Rebellion Has Begun!",0.0,0,TTRPG
1915,Rhand: Morningstar Missions,"Back cover text: A Complete Fantasy Role-Playing Game on the World of Rhand Rhand is a fallen world, a world at war. A shattered humanity retreats each year before a wave of ice. Driven by hunger, the cultures of Rhand fight among themselves for the planet's dwindling resources, slowly reverting to complete barbarism. The faceless, inhuman Spectrals stalk through the ruins, existing only to destroy humanity. In this chaos the only real stability lies in the city-states, small nations struggling to survive in a land of ice, war, and hatred. Beleaguered and isolated, the city-states and indeed all of Rhand have only one hope for the future: The ORCA. An elite group of heroes and healers, the ORCA is the last chance for life and civilization in a world gone mad. Join the ORCA and enter the eternal battle for the fate of Rhand as you: • Encounter the wily Jineta, master horsemen and rulers of the plains. • Deal with the Clochardi, subtle and powerful humans who wrest life out of the icelands. • Aid the reclusive Vid in their battle to save the vanishing forests they have made their homes. • Combat the Vissers, warped, malevolent creatures that were once human. • Pursue the twisted people who call themselves Blades, madmen who have betrayed their race for greed, power, and hatred. • Battle the jet-black, unthinking Spectrals, the enemies of all life on Rhand. And Rhand: Morningstar Missions gives you more than alien cultures, fascinating opponents and the glory of the ORCA's struggle to save a world; it gives you a revolution in game design. The unique rules system puts you on the battlefield: • In the chaos of combat you must stab, slash, duck, and parry. • Aim your blows where you wish — the limbs, the head, or even the heart. • Batter down your opponent's shield to create an opening for an ally. • Drag an enemy from horseback and continue the fight with or without weapons. • Feel the tension of the bowstring on your fingertips. • Wield the forces of magic — the powers of the elements and a full range of mental abilities. • Master any skills you wish by study or field experience.",0.0,0,TTRPG
1935,The Lost Wizard,"Publisher Blurb You are Andru. Shrunk to the size of a fly, you are on a quest with your new pixie friend in search of the Lost Wizard. As a wizard's apprentice, you can use your magic powers to get you out of jams -- but not always!",0.0,0,TTRPG
1939,Sword of the Samurai,Publisher blurb This book is a time machine. Travel back in time 330 years and become a samurai.,0.0,0,TTRPG
1945,The Mystery of the Highland Crest,"(Reader summary) Whereas The Curse of Battslea Hall (CYOA #30) sent the reader to England to solve a mystery, this time you're headed to Scotland for some serious sleuthing. This is the 34rd book in the Choose Your Own Adventure series.",0.0,0,TTRPG
1953,Bureau 13: Stalking the Night Fantastic (2nd Edition),"From the introduction: The history of the human race is filled with evidence of eerie and unexplained occurrences. Our myths, legends and fairy tales consistently reaffirm that the supernatural exists. This knowledge of the ""supernatural"" has been with mankind since before the dawn of history. Mostly these occurrences were misunderstood and greatly feared by the general populace. With no organization, it was usually the small mobs of angry peasants that stalked the creatures of the night, and more often than not, exterminated the supernatural, good and evil. Always, though, there have been a few who were capable of discerning the passing difference between good and evil. In the early 1860's the United States established a secret supernatural investigative agency under the cover of the Civil War. Only a few top officials knew of its existence and it became known simply as ""Bureau 13"". For the next century the few employees of the Bureau went quietly about their ""business"" of ferreting out and eliminating the destructive aspects of the supernatural. So successful were their efforts that the memories of the public dimmed and the fear of the unknown was replaced by awe (and suppressed fear) of the new technologies. Foreign branches of the organization were established in Europe, Africa and Asia. The years have passed and worldwide memories have faded. The public has come to believe that magic and the supernatural are the stuff of children's dreams and nightmares. They are wrong. 1989: Bureau 13, now an ultramodern force, more secret than before, fights to stem the growth of ancient magic and the supernatural that threatens the innocent. Wherever the supernatural waits, good and evil, the agents of Bureau 13 will be there, but... Evil is growing.",0.0,0,TTRPG
2057,Tower of Midnight Dreams,"user summary Book 1 in the Dungeons & Dragons Cartoon book series. A Pick-a-Path-to-Adventure book. You are Bobby the Barbarian. When your friends are captured by the evil Venger, you must use all your courage to rescue them from the Tower of Midnight Dreams.",0.0,0,TTRPG
2071,"Vikings and Valkyrs Volume I: Character Classes, Skills, Magic","This book covers character creation and development and the magic system. Characters have attributes strongly reminiscent of those used in Dungeons & Dragons at the time (basically, the D&D attributes plus Luck and Will). Classes are berserkers, runemasters, skalds, warlocks, warriors, and wizards.",0.0,0,TTRPG
2081,The Future King,"From the back cover: Six historical heroes: Doc Holiday, Nostradamus, Bruce Lee, Harald Hardraada, Owen Glendower, and Cyrano de Bergerac have been gathered together out of the mists of time. Their mission is to find and wake King Arthur, for it is time that he again don the mantle of kingship. All you need to play The Future King is this adventure booklet and a common pair of dice. It is not necessary to first learn some seperate rules system -- nor do you need any of the odd-shaped dice used in so many role-playing games. So just take The Future King home, read it, and you'll be ready to play.",0.0,0,TTRPG
2095,Falcon 2: Mechanon,"From the back of the book: The Ultimate Weapon. The fate of Earth lies in your hands! As special agent Falcon, you have just been briefed on the alarming timeline changes emanating from the long-dead world of Mechanon. Once it had been an enormous factory-planet, where teams of robot warriors assembled a fearsome array of space weapons...until a terrible nuclear catastophe reduced it to a tangled ruin of rock and metal. Now a renegade Time Lord is using his powers to wipe out that past disaster, and make Mechanon once more the most deadly arsenal the universe has ever seen! Time is short - and only you own ingenuity in altering the course of history can save mankind from the Time Lord's ultimate weapon!",0.0,0,TTRPG
2099,Castle Thrax,"From the back of the book: Tired of doing all the work for the group you adventure with? Now you can play too. Castle Thrax does the work for you. A revolutionary concept in Fantasy Role-Playing modules is designed to be played without a dungeon master! No referee of any kind! One person is assigned to simply read the descriptions and instructions from this unique adventure packet. No dungeon mastering experience is necessary. Sure, being the dungeon master is fun, but not all the time. Castle Trax gives you the opportunity to adventure with your friends, meet the same challenges, slay the same vile threats to humanity. And gain experience points right along with them. Castle Thrax has other playing opportunities. Perhaps your friends live a great distance from you or they don't get together to play as often as you like. Get out your favorite character and some NPC's and play Castle Thrax solo. There's no reason to be left behind as your friends' characters gain increasingly higher levels because they play more often than you.",0.0,0,TTRPG
2104,Warlords,"From the Back of the Book: Role-Playing in the Orient Inside are two books for you and a friend to use in playing an all-new kind of adventure. One of you will take the part of Prince Matabei, dispossessed of his kingdom by his uncle, Lord Kenshin, who will be played by the other player. In the dead of night, on a fog-shrouded coast, the prince returns to Tsuke, his former kingdom. During the coming days he must investigate the entire province, locate Lord Kenshin's troops, and determine who is for him and who against. At the same time, Lord Kenshin will be fighting to keep control in a land that has come to hate him. Either of you can win... and either of you can die. This an exciting game of hand-to-hand combat, troop movements, and subtle negotiation, all in the oriental style. No dice are required. Instead a traditional paper-scissors-rock game determines the outcome of combat and other encounters. All you need to start is one friend and two pencils! PLAY ANYTIME! ANYWHERE! PLAY MANY TIMES! THE GAME IS ALWAYS DIFFERENT!",0.0,0,TTRPG
2118,Falcon 1: The Renegade Lord,"From the back of the book: Race against Time It's 3033AD. You're a special agent - codename Falcon - working for TIME. You've been personally selected to pilot a time machine on a perilous journey into the unknown. Your mission: to stop the renegade Time Lord whose meddling with the past is threatening to throw the timelines of future history into total chaos! Your quest will take you deep into the tumult of bygone days, and your only weapon will be your blaster and the powers of your mind with wich you - and you alone - can change the destiny of mankind!",0.0,0,TTRPG
2139,Ice Elves,"From the back cover: Beyond the dark forests, beyond the ragged mountains, beyond the realm of the humans, lies a FORBIDDING LAND OF ICE AND SNOW. ICE ELVES First glimpsed in the pages of last year's best-selling module, ELVES, these barren plains are now brought to life. Your adventurers must trek over the frozen wastes in a QUEST FOR THE SACRED GEM. Face the treachery of man and the perils of a hostile wilderness, command an ice rigger in mortal combat with pirates, and journey into the stronghold of the evil raiders. A blood-chilling adventure for 4-6 characters of skill levels 7-9.",0.0,0,TTRPG
2142,The Witch's Spell Book,"user summary Book 3 in the Dungeons & Dragons Cartoon book series. A Pick-a-Path-to-Adventure book. You are Sheila the thief, and you must rescue your friends from orcs.",0.0,0,TTRPG
2143,James Bond in Programmed for Danger,Publisher Blurb: You are James Bond! The revolutionary Z-dis - a micro-energy source - has been stolen. Will you recover it before it falls into the wrong hands?,0.0,0,TTRPG
2146,Tarzan and the Well of Slaves,"Endless Quest #26 From back of book: You have followed the trail of strangely clad figures with their leashed leopards deep into unexplored mountain country in the hope they will lead you to the answer behind the disappearances amoung your loyal Waziri followers. But nothing has prepared you for what you now see as you stand atop a ridge high above the valley spread below you. For beneath you lies a magnificent city where none should be, a replica of those built by the Pharaohs four thousand years ago! And suddenly you know the answer to your quest lies within its ancient, mysterious walls! You are Tarzan of the Apes, and the choices are yours in an ENDLESS QUEST Book.",0.0,0,TTRPG
2195,Dragonsword of Lankhmar,"From the Back of the Book: A New Kind of Game Inside are two books for two players. One of you becomes the famous pair of thieves, FAFHRD and the GRAY MOUSER. The other takes the part of members of the Thieves' Guild. Fafhrd and the Gray Mouser are in search of the fabled Dragonsword. The Thieves' Guild is in search of Fafhrd and the Gray Mouser, trying to put an end to their ""unauthorized"" thieving activities! Enter the famous city of Lankhmar where wealth, beautiful women, and danger await you on every corner. The Gods of Trouble and Death have an intense interest in your quest! (Your opponent takes the part of all monsters and enemies you fight, just as you take the part of any enemies he faces!) An easy, dice-less combat system simulates battle. In is an exciting game of thievery, assassination, and adventure as you roam the streets of Lankhmar. Everything you need to play is provided: two books, magic spells, Combat Table, Character Sheets. No dice required. All you provide is one friend and two pencils. PLAY ANYTIME! ANYWHERE! PLAY MANY TIMES! THE GAME IS ALWAYS DIFFERENT!",0.0,0,TTRPG
2246,Clash of the Sorcerers,"Super Endless Quest Adventure Gamebook #11 From Back Cover: Now you can experience all the thrills of playing the ADVANCED DUNGEONS & DRAGONS Game by yourself-- in book form! ADVANCED DUNGEONS & DRAGONS Adventure Gamebooks use a simple, unique role-playing game system based on the popular ADVANCED DUNGEONS & DRAGONS Game, incorporating two standard six-sided dice, hit points, skill points, experience points, and much more. CLASH OF THE SORCERERS brings you to the exciting climax of the KINGDOM OF SORCERY gamebook trilogy, as Carr Delling confronts his old enemy, the archmage Arno, in an attempt to save the land from corruption. ADVANCED DUNGEONS & DRAGONS Adventure Gamebooks read like books, play like games, and offer a thrill a minute-- with YOU as the hero! Book 3 of The Kingdom of Sorcery Trilogy. 26 possible endings.",0.0,0,TTRPG
2258,Night of the Ninja Mastery Manual,"subtitled Reality Role-Playing Game from the back cover Can you think like a Ninja? Do you Expect the Unexpected? Make the Impossible Possible? Night of the Ninja Mastery Manual includes 68 pages of easy to learn player's and ninja master (NM) rules section. Inside cover contains Ninja Master data screen for easy chart and table references. Complexity level 3 needs only 2 10-sided dice to generate action, combat, suspense and hours of imaginative, intense entertainment. A brief history of the warrior ways of the ninja is included.",0.0,0,TTRPG
2264,Monster Manuscript,"User Summary The Monster Manuscript, subtitled An Adventurer's Guide to Fantastic Creatures, contains page after page of D&D-style monster write-ups. Originally a free item, the Manuscript stats out a variety of creatures that appeared in Grenadier Models Dragon Lords Monster Manuscript miniatures line that appeared in 1986 & 1987. The last couple of pages include painting tips for the various creatures that appear in the book, as well as a write-up for an entire undead legion. This module-sized booklet was given out with Grenadier set #1501 (which contained a mix of fantasy monsters).",0.0,0,TTRPG
2266,Falcon 5: The Dying Sun,"From the back of the book: Against All Odds! You've just been chosen for what's probably the toughest assignment you'll ever have tackled. Your mission is to neutralise the menace of the evil Yelov and your orders are brutally simple: either you capture him or you void him! Yelov has back-up from a fearsome team of cosmic warriors, but against such unyielding might your own support crew is almost hopelessly outnumbered. As you skip through time and space in your cosmic racer, arcing perilously close to the dying sun of Yelov's home planet Sirius, you'll have only split seconds in which to make the key decisions on which so many innocent lives depend!",0.0,0,TTRPG
2299,Falcon 6: At The End of Time,"From the back of the book: Trapdoor Through Time! Fate has hurled you into a vortex of unbelievable horror - a vital flaw in the fabric of time that sends everything that has ever been or ever will be plummeting towards the cosmic scrapheap that marks the very end of time. Impossible creatures from ten millions years ago - or hence - hurtle past as you struggle to escape your onward plunge into oblivion. The slightest error of judgement on your part, or a momentary hesitation, and all will be lost - and you'll never again be able to find your way back through that terrifying trapdoor in time!",0.0,0,TTRPG
2316,The Case of the Silk King,"From the back of the book: One day an envelope is mailed to your detective agency. Inside are two one-thousand-dollar bills, a plane ticket to Thailand, and a newspaper article. The article is about the incredible disappearance of Jim Thompson, the 'Thai Silk King'. It promises a huge reward to whoever finds him! Someone wants you to investigate- but who?",0.0,0,TTRPG
2329,The Doomsday Device: Fantastic Four vs Doctor Doom,"From the Back of the Book: The Future of New York is in Your Hands! Inside are two books for two players. One of you becomes the crazed scientist and would-be world conqueror DOCTOR DOOM. The other plays Doom's arch rival in the MARVEL UNIVERSE, REED RICHARDS, and the FANTASTIC FOUR. If you play the part of the brilliant super villain Doctor Doom, your objective will be to make New York a has-been on your way to taking over Florida -- and the world! If you play the part of the Fantastic Four, your goal will be to make Doctor Doom and his doomsday device look like amusements from Coney Island. Everything you need to play is provided: two books, Combat Table, and Character Sheets. No dice are required. All you need is a healthy supply of luck and two pencils! PLAY ANYTIME, ANYWHERE, MANY TIMES! The game is different every time you play, but your well-being is always at stake in THE DOOMSDAY DEVICE.",0.0,0,TTRPG
2344,Traveller Character Generator,"Publisher's blurb: Generate Basic Traveller characters on your Apple // computer! Includes 16 character careers from Book 1: Characters and Combat and Supplement 04: Citizens of the Imperium, or make your own! Print out characters. Supports Alternate Survival Rule. For Apple ][+, //e, //c with 48K or more memory.",0.0,0,TTRPG
2349,Escape from Colditz,"Back of the Book As World War II draws to its climax, you, an RAF pilot, are shot down over Dresden and after several abortive attempts to escape from other POW camps you are sent to Colditz, the ultimate challenge for would-be escapers. Heartless German soldiers patrol the battlements, indifferent to the bitter wind. No transgression of the rules, however slight, ever goes unpunished. But in the prison quarters, men from different Allied nations are plotting tirelessly, racking their brains to think of ever more devious ways to outwit the German Commandant and escape. But it is never easy and success is all too rare. You must succeed where so many others have failed, and escape from this apparently unassailable fortress. And, as if that weren't enough, you must then make your way through enemy territory until you reach the safety of either a neutral or Allied country. Can you bring off your escape from Colditz? Pit your wits against the Nazis and cross your fingers that luck is with you. You'll need it! In this game book, you are the hero. A die, a pencil and an eraser are all you need to set off on your adventure.",0.0,0,TTRPG
2352,Vision of Doom,"Endless Quest #35 From the back cover: You are certain that your nightmare vision of doom is a prophec of the future. And if it is, soon the Vampire King will arise from his sleep of living death to roam the land, wreaking his aweful revenge, unless you can somehow stop him... You are about to enter the exciting world experienced by the players of the popular DUNGEONS AND DRAGONS Game. It is a fantasy world filled with enchanted castles and fearsome monsters. Are YOU brave enough to meet its challenges? In other ENDLESS QUEST Books, you can combat secret agents skilled in espionage, journey to the corners of the galaxy, or attempt to survive in a future world ravaged by wars. Each ENDLESS QUEST Book is based on an exciting role-playing game, but you don't need to know the game to enjoy the book. Just make your choices, and accept the consequences! Remember! Only your choices lead to success in ENDLESS QUEST Books.",0.0,0,TTRPG
2354,The Monsterous Civilizations of Delos,"""In Delos, Monsters aren't always ... visit the Ogre Nations of Delos, travel the Forests of Night and meet the legendary Wampyr and their Wool-o-the-Wisp and explore the legendary Broken Lands where even the normal is stranger than you can imagine. As you journey through the Monstrous Civilizations of Delos, you'll learn the real perils of succubi, how to get a giant drunk and (maybe) what has become of the fabled Gnoptic Chalice. Overall a dastardly miscellany of new traps, poisons, artifacts....""",0.0,0,TTRPG
2360,Rivermasters of Arania,In Rivermasters of Arania the characters move north to encounter the strange merchants and heroes of the Kingdom of Arania while on a trading mission. For character levels 6-9.,0.0,0,TTRPG
2368,Rupert and the Pirates' Den,From the Front of the Book: A strange old map starts you and Rupert on an exciting search!,0.0,0,TTRPG
