True_Niche_ID,Name,Average Score,Number of Reviews
15,"Munchkin Warhammer 40,000",6.64,144
15,The Enemy Within,8.27446,92
15,The World of Greyhawk,7.72848,79
15,Speedy Pickers,6.72,72
15,Mercenary,7.5597,67
15,Masks of Nyarlathotep (5th edition),9.08525,61
15,Masks of Nyarlathotep (5th edition),9.08525,61
15,Research Station Gamma,6.84211,38
15,Marc Miller's Traveller (4th Edition),5.53378,37
15,Sorcerer & Sword,8.12162,37
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
16,Time Control,2.14,53
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
17,War,2.3,1419
18,Rock Paper Scissors Lizard Spock Dice,4.4,63
18,Rock Paper Scissors Lizard Spock Dice,4.4,63
18,Rock Paper Scissors Lizard Spock Dice,4.4,63
18,Rock Paper Scissors Game,1.31,31
18,Rock Paper Scissors Game,1.31,31
18,Rock Paper Scissors Game,1.31,31
18,Rock Paper Scissors Game,1.31,31
18,Rock Paper Scissors Game,1.31,31
18,Rock Paper Scissors Game,1.31,31
18,Rock Paper Scissors Game,1.31,31
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
19,Erune,9.56,43
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
20,Intelligent Design vs. Evolution,1.81,59
21,Newgrange Reactivated,2.0,1
21,Newgrange Reactivated,2.0,1
21,Newgrange Reactivated,2.0,1
21,Newgrange Reactivated,2.0,1
21,Newgrange Reactivated,2.0,1
21,Newgrange Reactivated,2.0,1
21,Death to Setanta,3.0,1
21,Death to Setanta,3.0,1
21,Newgrange Reactivated,2.0,1
21,Newgrange Reactivated,2.0,1
22,Fluffy Bunny,2.88889,9
22,Fluffy Bunny,2.88889,9
22,Knights & Legends,2.33333,9
22,Knights & Legends,2.33333,9
22,Fluffy Bunny,2.88889,9
22,Fluffy Bunny,2.88889,9
22,Fluffy Bunny,2.88889,9
22,Knights & Legends,2.33333,9
22,Fluffy Bunny,2.88889,9
22,Knights & Legends,2.33333,9
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
23,Malhya: Lands of Legends,9.57,41
24,Unnatural Disaster,1.0,1
24,Unnatural Disaster,1.0,1
24,Unnatural Disaster,1.0,1
24,Unnatural Disaster,1.0,1
24,Unnatural Disaster,1.0,1
24,Unnatural Disaster,1.0,1
24,Tooth & Claw,3.0,1
24,Unnatural Disaster,1.0,1
24,Tooth & Claw,3.0,1
24,Tooth & Claw,3.0,1
25,Drakar och Demoner (2nd Edition),7.15385,13
25,Svavelvinter,7.77778,9
25,Drakar och Demoner Samuraj,6.14286,7
25,Western (2nd Edition),5.5,6
25,Efter Ragnarök,5.8,5
25,Tjuvar och lönnmördare,7.3,5
25,Drakar och Demoner: Rollspelet - Reviderade utgåvan,6.4,5
25,Monster och män i Ereb Altor,6.0,4
25,Eilapam,6.0,2
25,Vaesen Starter Set,8.5,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
26,The Lost Universe,1.0,2
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
27,BreaKey,1.48,48
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
28,Empire of Satanis,1.0,2
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
29,Evil Dead 2: The Official Board Game,2.25,59
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
30,"A Christian Response to Dungeons & Dragons, the Catechism of the New Age",1.0,1
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
31,Oneupmanship: Mine's Bigger,1.04,75
32,The Resistance: Avalon,7.56,28808
32,Middle-Earth Quest,7.38,4028
32,Pandemic Legacy: Season 0,8.64,3570
32,Pandemic Legacy: Season 0,8.64,3570
32,Pandemic Legacy: Season 0,8.64,3570
32,Pandemic Legacy: Season 0,8.64,3570
32,Pandemic Legacy: Season 0,8.64,3570
32,Pandemic Legacy: Season 0,8.64,3570
32,Oath: Chronicles of Empire and Exile,8.01,2776
32,Oath: Chronicles of Empire and Exile,8.01,2776
